,tweet_id,tweet_text,choose_one_category,label_n
35,'591902702709280768',Atonce Help from India &amp; Abroad is appreciable in Nepal/India Earthquack desater thanks them# Heartly condolence for those who have no more,donation_needs_or_offers_or_volunteering_services,2
36,'591902704454258689',"Microsoft offers free Skype calls in Nepal, Facebook donates $2 million http://t.co/ruGqXVhQdX",donation_needs_or_offers_or_volunteering_services,2
37,'591902704592523265',RT @dna: Nepal earthquake pushed part of India a few feet northward http://t.co/i1YWjY1u7Z,other_useful_information,2
38,'591902704793976832',RT @arjunk26: My friend  @RohanShrestha is heading into Nepal to him his fellow people show ur support anyway u can http://t.co/yJxzPVMNke,donation_needs_or_offers_or_volunteering_services,2
39,'591902704970010624',RT @ddlovato: AND please pray for Nepal... #PrayersForNepal ‡__F,sympathy_and_emotional_support,3
40,'591902705276313600',RT @washingtonpost: Experts had warned for decades that Nepal was vulnerable to a killer quake http://t.co/3Gb2ESbfpZ,other_useful_information,2
41,'591902705376985088',"RT @ndtv: After Nepal earthquake, a pile of bodies and a lost world http://t.co/JMaU2SYycP http://t.co/T40SpgH7B7",injured_or_dead_people,0
42,'591902705397956608',Google exec dies in Mt. Everest avalanche after Nepal quake http://t.co/s0jpaUROB1 #Startup #Entrepreneurs #Ideas,injured_or_dead_people,0
43,'591902706421215233',RT @RobinMacNab: Nepal earthquake reduces World Heritage sites to rubble http://t.co/YAA6c1Oe4d http://t.co/aG6Ymj2wkb,infrastructure_and_utilities_damage,1
44,'591902706547105793',RT @unisdr: Breakdown in communications hampering response effort #NepalEarthquake  https://t.co/kBD05ZVtFN,other_useful_information,2
45,'591902706899365888',"RT @JeromeTaylor: . @AFP's @robertoindelhi &amp; @akannampilly were at Everest basecamp when #Nepalquake hit. Both safe, but 17 others dead htt‰Û_",injured_or_dead_people,0
46,'591902707939713024',RT @SasuSakuIND: Prayers sent to all those effected by Nepal earthquake ‡__F #Candy  #SasuSaku #NepalEarthquake #Naruto http://t.co/XxU5WqajkA,sympathy_and_emotional_support,3
47,'591902708610822144',"RT @brooketitus369: Wendesday may six yoga 11 will be hosting a bake sale to help support the relief efforts in Nepal, come help out cpa!",donation_needs_or_offers_or_volunteering_services,2
48,'591902708988121089',RT @National_Hindu: This is what Hindu Nation Nepal got from Pakistan as a relief food. #FilthyIslam http://t.co/mWlLxh1UjM,other_useful_information,2
49,'591902709084631040',RT @nickjonas: Help the families of the Nepal Earthquake which has left thousands dead. Donate to @convoyofhope at http://t.co/AKKvoGIDUz #‰Û_,donation_needs_or_offers_or_volunteering_services,2
50,'591902709445361665',RT @AskAnshul: Pak Insulted Hinduism / Buddhism culture of Nepal  if Pak don't want to help its ok but don't spoil Spirituality n Beliefs  ‰Û_,other_useful_information,2
51,'591902709579698176',RT @UNICEFmedia: We are responding to #NepalEarthquake. @UNICEF worker with a little girl in need of temporary shelter in #Kathmandu http:/‰Û_,other_useful_information,2
52,'591902709634113536',She is a true Nepali https://t.co/9Owfe7QVhv,not_related_or_irrelevant,3
53,'591902710191951873',"RT @BBCBreaking: #NepalEarthquake latest http://t.co/hTcl4Kv0M5  - 3,617 killed - 6,515 injured - Totals ""set to rise"" - Huge damage http:/‰Û_",injured_or_dead_people,0
54,'591902710275788800',RT @CAREAustralia: #NepalEarthquake: $144 can provide clean drinking water for 12 families. Please donate now: http://t.co/KTUp2OPaIH http:‰Û_,donation_needs_or_offers_or_volunteering_services,2
55,'591902710560985088',Our prayers for all the Tibetans and Nepalese that have died or been affected by the terrible earthquake in Nepal... http://t.co/aJQS8QOjjx,sympathy_and_emotional_support,3
56,'591902710653325313',Nepal earthquake: Kathmandu turns into city of tents as victims seek refuge - The Straits Times http://t.co/ZBF0PAM6rC,displaced_people_and_evacuations,0
57,'591902710795997184',RT @rickiwahi: #GIMEL will be sending relief supplies for #NepalEarthquake victims. Please join this effort &amp; contribute with things you do‰Û_,donation_needs_or_offers_or_volunteering_services,2
58,'591902710951190528',‰Û÷Maldivian‰Ûª to travel to Nepal to evacuate Maldivians from the country http://t.co/5jqfpfTUSe,displaced_people_and_evacuations,0
59,'591902711018233856',"""@BAP_Bangyongguk: Praying for the people in NEPAL""",sympathy_and_emotional_support,3
60,'591902711030812673',"RT @theage: Quake terror: 'It's still shaking' Nepal rocked, temors felt in India and Bangladesh http://t.co/NIywHeXyTw http://t.co/v4QuUk3‰Û_",other_useful_information,2
61,'591902711110471680',"RT @dibang: Reached #Kathmandu after a 9-hr flight. Lobby, hotel Yak n Yeti . No one wants sleep in the rooms. #Aftershocks Nepal http://t.‰Û_",other_useful_information,2
62,'591902711164973056',RT @IsraelHatzolah: NEPAL U/D: Foreign Ministry reports Number of Israelis who have yet to make contact following massive earthquake is dow‰Û_,other_useful_information,2
63,'591902711223816192',RT @SrBachchan: T 1845 - O ! God .. this is Nepal earthquake ..!!! I shot a song here for 'Mahaan' with Zeenat Aman .. pray all well http:/‰Û_,sympathy_and_emotional_support,3
64,'591902711265636352',RT @CNN: The next 72 hrs will be critical &amp; rescue efforts are complicated by the terrain #NepalQuake: http://t.co/cgZ8YexhAj http://t.co/l‰Û_,caution_and_advice,3
65,'591902711316111360',RT @UNICEF_uk: #Breaking: Nearly 1 million children require urgent humanitarian assistance after #NepalEarthquake http://t.co/ix6cdq7jMf,donation_needs_or_offers_or_volunteering_services,2
66,'591902711437598720',"RT @Louis_Tomlinson: Just donated @savechildrenuk #NepalEarthquake appeal. If you can too, go here http://t.co/NXBJftNl9m or text: DONATE5 ‰Û_",donation_needs_or_offers_or_volunteering_services,2
67,'591902711496347648',RT @ICEYTREY: Bruce Jenner still front page of Yahoo when 1500 people died in an earthquake in Nepal this morning,injured_or_dead_people,0
68,'591902711538425856',80 hours! ! GOD!! https://t.co/sNetLbIskQ,not_related_or_irrelevant,3
69,'591902711647379457',"RT @iSupportNamo: Manisha Koirala thanks Indian govt, PM @narendramodi for relief help to quake-hit Nepal http://t.co/WoA9M1KkVT",donation_needs_or_offers_or_volunteering_services,2
70,'591902712049967104',RT @DarcyOliver2: Hey People Searching for any info on  My Brother Liam Oliver  in Nepal  and was traveling Chanje Dharpani - annapurna cir‰Û_,missing_trapped_or_found_people,0
71,'591902712138043392',RT @camilacabello97: text the word NEPAL to 20222 to donate 10 dollars to earthquake relief in Nepal. thousands of people are hurt and they‰Û_,donation_needs_or_offers_or_volunteering_services,2
72,'591902712582656001',"RT @loaideeb: When I see the outcomes of the recent earthquake in Nepal, i wonder if the nature's fury is enough for people or... http://t.‰Û_",not_related_or_irrelevant,3
73,'591902712603615232',Nepal receives heavy rainfall #NepalEarthquake http://t.co/J9DwIrw69n,other_useful_information,2
74,'591902712729444352',@Oprah so what about #earthquakenepal,other_useful_information,2
75,'591902712783970304',How to help earthquake victims in Nepal http://t.co/oPpbPsLfIF via @mashable,donation_needs_or_offers_or_volunteering_services,2
76,'591902712838500352',RT @rupeshsingh10: Please don't donate money to any News Channel or NGO to help #NepalEarthquake. Wait 4 appropriate link @PMOIndia provide‰Û_,donation_needs_or_offers_or_volunteering_services,2
77,'591902712838553600',"""Tourist are at street , today morning in Thamel, Kathmandu."" #Nepal #Kathmandu #Thamel https://t.co/kZ0tJSZZ1E",displaced_people_and_evacuations,0
78,'591902713048276994',RT @ABC7Jovana: DONATE NOW and support the victims of the Nepal earthquake. Ways to help: http://t.co/J3UceLRWL0,donation_needs_or_offers_or_volunteering_services,2
79,'591902713178234880',Lets take a moment n #PrayForBaltimore #prayfornepal #GODISNEEDED ‡__F‡__F‡__F,sympathy_and_emotional_support,3
80,'591902713358626816',RT @cyclopsee: MEA has set up a dedicated handle .@MEAcontrolroom. Pls share. #NepalQuake  https://t.co/jpRZ836W5H,other_useful_information,2
81,'591902713719300096',"RT @ANI_news: PM Modi &amp; HM Rajnath Singh called us, expressed their concern, they have offered us all aid possible: D Upadhyay, Nepal Ambas‰Û_",donation_needs_or_offers_or_volunteering_services,2
82,'591902714558156800',RT @avoiding_bears: HEY TWITTER I'll draw your portrait with the historical figure(s) of your choice for a donation to Nepal! https://t.co/‰Û_,donation_needs_or_offers_or_volunteering_services,2
83,'591902714893729793',"Nepal earthquake: death toll exceeds 1,500 ‰ÛÒ rolling report http://t.co/rF1EJyO0cP  Rolling coverage of developments in Himalayan nation ‰Û_",injured_or_dead_people,0
84,'591902714944032768',RT @grinsli: Looking for ways to help #NepalQuake victims? Check out @CNNImpact's list of orgs offering aid in the region http://t.co/AlBuI‰Û_,donation_needs_or_offers_or_volunteering_services,2
85,'591902715199893504',BABYMETAL FAN CLUB helping those affected by the Nepal earthquake. All profit from each t-shirt purchased at the... http://t.co/bYorJp53vj,donation_needs_or_offers_or_volunteering_services,2
86,'591902715292340224',RT @NeverForget0911: Help us help #Nepal. NFF is sending responders for rescue &amp; recovery. We need your donation to help those affected. ht‰Û_,donation_needs_or_offers_or_volunteering_services,2
87,'591902715317477376',RT @BBCBreaking: Death toll from massive Nepal #earthquake rises to 565 with many more trapped under rubble http://t.co/8ix4HGFurO http://t‰Û_,missing_trapped_or_found_people,0
88,'591902715392864256',@sambitswaraj kids in my house were actually amused as it was not that major...Of course one was not predicting things in Nepal,sympathy_and_emotional_support,3
89,'591902715598348288',RT @WHO: WHO has deployed emergency health kits to cover health needs of thousands of affected people in #Nepal #NepalQuake http://t.co/76G‰Û_,donation_needs_or_offers_or_volunteering_services,2
90,'591902715883618304',Girish Karnad spotted in Nepal to for a Beef Masala meal,not_related_or_irrelevant,3
91,'591902715955019776',"Sikh Sevak From #GoldenTemple To Send 100,000 Food Packets to Earthquake Hit-Nepal thx for #GoldenTemple... #Respect",donation_needs_or_offers_or_volunteering_services,2
92,'591902716043075584',Better disaster management needed at Sonar fort: Experts: Vimal Bhatia | The natural calamity in Nepal raises ... http://t.co/sheCEpBYGs,other_useful_information,2
93,'591902716160450562',RT @nytimes: A survivor was pulled from the rubble in Nepal. Follow updates on the Nepal earthquake: http://t.co/h1NirjLPsD http://t.co/qPN‰Û_,missing_trapped_or_found_people,0
94,'591902716592422912',RT @Federation: Follow @IFRCAsiaPacific for latest updates on #RedCross response to #NepalEarthquake  https://t.co/RGShMra070,donation_needs_or_offers_or_volunteering_services,2
95,'591902716877647872',RT @uofnkona: We have been in touch with all our #Outreach teams in Nepal and they are all doing well. Pray for #NepalEarthquake . http://t‰Û_,sympathy_and_emotional_support,3
96,'591902716940587008',"T-Mobile offers free calls to Nepal, but will they get through? (+video) - Christian Science Monitor: Christia... http://t.co/FKKHP2t8AZ",donation_needs_or_offers_or_volunteering_services,2
97,'591902717083328512',RT @jamieoliver: Please text NEPAL to 70007 to give å£5 to @careintuk's #Nepal earthquake appeal T&amp;C http://t.co/neVIV54QmQ Costs å£5+service‰Û_,donation_needs_or_offers_or_volunteering_services,2
98,'591902717313822720',RT @liveleak: Many people killed and injured in powerful quake in Nepal: Scores of people have been killed and many injured ... http://t.co‰Û_,injured_or_dead_people,0
99,'591902717464875008',RT @SkymetWeather: #Earthquake: Latest image of Indian aircraft leaving for #Nepal from Hindon base. #NepalQuakeRelief http://t.co/ca6fwyY3‰Û_,other_useful_information,2
100,'591902717938765824',RT @humanityfirstuk: Many qualified #clinicians in our HF team in #Nepal. Dr Alfa-Wali @Ecosurg is an NHS Surgeon from Imperial in London h‰Û_,donation_needs_or_offers_or_volunteering_services,2
101,'591902718081441792',RT @vishnoi4u: How Many Team send By @INCIndia @AamAadmiParty Ford Found GreenPeace For Rescue op Nepal  #MEAatWork #IndiaWithNepal http://‰Û_,other_useful_information,2
102,'591902718127550465',15k people died in Nepal? Omg. My heart breaks for them :(,injured_or_dead_people,0
103,'591902718286954496',I just donated to support the Nepal earthquake survivors and hope you will too! #SupportNepal http://t.co/VpZA5j6GM5,donation_needs_or_offers_or_volunteering_services,2
104,'591902718584758274',RT @ANCALERTS: Chinese International Search &amp; Rescue Team &amp; their rescue dogs off to help in quake-hit Nepal. (Photo via Reuters) http://t.‰Û_,donation_needs_or_offers_or_volunteering_services,2
105,'591902718626664448',Earth Quake in Nepal. What can we do? #NepalEarthquake #NepalQuake Please RT #EarthQuake http://t.co/9tjk51ibAu,other_useful_information,2
106,'591902718865842177',"Villages Near Nepal Earthquakes Epicenter are Desperate: Five hours by car from Kathmandu, then by foot for several miles past the sp...",infrastructure_and_utilities_damage,1
107,'591902719104983040',RT @selenagomez: Help children affected by the #NepalEarthquake - support UNICEF‰Ûªs relief efforts http://t.co/Vhiury5w2n via @UNICEFUSA #Ne‰Û_,donation_needs_or_offers_or_volunteering_services,2
108,'591902719264174080',You can make your Thug Life videos with Thug Life Maker... Nepal #WhereIWasWhenZaynQuit Pelle #CatCinema  ‡_ÊE http://t.co/5nak8s9kvV ‡_ÊE,not_related_or_irrelevant,3
109,'591902719784390657',"RT @clark_reiter: Thousands in Nepal struggling to survive and in dire need for aid. Meanwhile, citizens of Baltimore looting junk food and‰Û_",donation_needs_or_offers_or_volunteering_services,2
110,'591902719843139584',RT @flightradar24: Kathmandu Airport is out of parking space. 15+ flights holding &amp; waiting for their turn http://t.co/xit7JfLHCW http://t.‰Û_,other_useful_information,2
111,'591902720149168129',RT @_wickedlygood: Just gave out a huge pile of clothes for #NepalEarthquake Please #Donate whatever you can,donation_needs_or_offers_or_volunteering_services,2
112,'591902720426123264',"Live: Nepal quake toll could reach 10,000, says PM Koirala http://t.co/ud7JwWDn6n http://t.co/qqeJKOXz3x",injured_or_dead_people,0
113,'591902721118048256',RT @MahelaJay: A sad day for Nepal. Let's sympathies with the families who lost love ones and pray for them. ‡__F,sympathy_and_emotional_support,3
114,'591902721847857153',RT @momwhoneedswine: Hoping all is ok | Calgary Bar Own In Nepal | http://t.co/pL57CeNY2B @The_BrassKens,sympathy_and_emotional_support,3
115,'591902721856253953',RT @chicoharlan: Startling images of destruction in #Nepal after 7.9-magnitude quake. http://t.co/HTFQqwlmK3 http://t.co/hbNohVO3FU,infrastructure_and_utilities_damage,1
116,'591902721927708673',RT  TimesNow: 400 people from Maharashtra stranded in Nepal are safe: Maharashtra CM Devendra Fadnavis (PTI),missing_trapped_or_found_people,0
117,'591902722082754561',"India rescues 546 people from Nepal, death toll 1,800: After Nepal was struck by the worst earthquake in 80 ye... http://t.co/okSQeYyxZo",missing_trapped_or_found_people,0
118,'591902722305224704',"RT @cnnbrk: Death toll from Nepal #earthquake is now near 4,000, including 3,862 in Nepal. http://t.co/wfrWhrp3b1 http://t.co/tvu3CEw9P1",injured_or_dead_people,0
119,'591902722430873600',"RT @nytimesworld: ""This is why I love Nepal. People here help one another because they know the govt often can‰Ûªt:"" @tangledjourneys http://‰Û_",sympathy_and_emotional_support,3
120,'591902722535751681',RT @NargisFakhri: I'm in shock. My prayers to all in #NepalEarthquake just watching the news online ‡_Á6‡_¢5 so scary ... my heart hurts ...,sympathy_and_emotional_support,3
121,'591902722539958272',RT @IaItanshuahuja: #MSGHelpEarthquakeVictims  Helpline numbers of the Indian Embassy in Nepal:  +977 9581107021   +977 9851135141,donation_needs_or_offers_or_volunteering_services,2
122,'591902722829328384',"RT @IsraeliPM: PM Netanyahu sent a letter to Nepalese PM Koirala, saying Israel was pained by the disaster that has befallen #Nepal  http:/‰Û_",sympathy_and_emotional_support,3
123,'591902722904883200',"RT @infos140: ‡_Ò4 NÌäPAL MISSING  They were trekking in Langtang, near Ghore Tabela during #NepalEarthquake #NepalQuake. Please RT http://t.co‰Û_",missing_trapped_or_found_people,0
124,'591902722938503168',"RT @TrendieIN: ""Trending India:08:10 AM IST"" 6. #NepalEarthquake 7. Was Wrong 8. Abu Bakr al-Baghdadi 9. Anurag Thakur 10. Everest",not_related_or_irrelevant,3
125,'591902722972069888',RT @AppStore: Here‰Ûªs how you can help those affected by the #NepalEarthquake.  Donate now: http://t.co/ilMVRmI3AS http://t.co/lUO5IWDNkI,donation_needs_or_offers_or_volunteering_services,2
126,'591902723185868800',"RT @LiaqatAli2015: 46/48 when he heard what has been going on, he burst into tears. A lot of Jews around the world have come forward to con‰Û_",not_related_or_irrelevant,3
127,'591902723307479041',RT @IDFrescue: More than manpower - Search &amp; Rescue teams are operating with their dogs to locate survivors in #Nepal http://t.co/oiZWXvQfKf,missing_trapped_or_found_people,0
128,'591902723311857664',"RT @Ajit_Doval: {ˆ´}- Heavy Equipment Could Not Fit Through :: Many Of The , Narrow Streets Of Kathmandu ˆ´´ˆ´ˆ´´ #DirectorGeneral #NDRF #OPSingh‰Û_",other_useful_information,2
129,'591902723416596480',RT @johngreen: .@SavetheChildren is on the ground in Nepal and needs our help to aid earthquake victims. Text the word NEPAL to 20222 now t‰Û_,donation_needs_or_offers_or_volunteering_services,2
130,'591902724305780736',RT @IsraelMFA: PM Netanyahu informed his Nepalese counterpart that an advance team would leave tonight åÊhttp://t.co/SIbTTKleoY #Nepal,donation_needs_or_offers_or_volunteering_services,2
131,'591902724339290112',"RT @_KimHoHo_: #PrayForNepal  ""God Please give them strength ‡__F‡__F   I hope everyone will be fine..""",sympathy_and_emotional_support,3
132,'591902724389634049',"RT @kylegotjokes: What was we pose to do? RT ‰ÛÏ@morgaaanf: 1,000 were killed in Nepal &amp; people were worrying about Bruce Jenner. http://t.co‰Û_",injured_or_dead_people,0
133,'591902724393816064',RT @ylenews: #FinnishRedCross campaigns for Nepal earthquake disaster http://t.co/4PlNA0ZfYU,donation_needs_or_offers_or_volunteering_services,2
134,'591902724964413440',"RT @suhelseth: Given the tragedy in India and Nepal, mobile operators and corporates in food and water businesses must show compassion and ‰Û_",donation_needs_or_offers_or_volunteering_services,2
135,'591902725216014336',RT @johnspatricc: åÈ http://t.co/2bOut6UStL Nepal Earthquake Death Toll Tops 3700 #Nepalearthquake 405 http://t.co/oODcrhhuQs,injured_or_dead_people,0
136,'591902725362724864',RT @surdesairajdeep: Heard PM to give 6Lacs to Family of Demised in Nepal but Will give ignorance to 1000s Dead farmers &amp; Jal Satyagrahis h‰Û_,donation_needs_or_offers_or_volunteering_services,2
137,'591902725551443968',RT @EE_Perry: Many reputable and effective organizations you may donate to for #NepalQuakeRelief: http://t.co/cyaZhDt4L2 #NepalEarthquake #‰Û_,donation_needs_or_offers_or_volunteering_services,2
138,'591902726260264960',The #NepalEarthQuake has taken the lives of more that 688 people #RIP,injured_or_dead_people,0
139,'591902726344220672',RT @iSupportNamo: Amritsar's Golden Temple to send One Lakh food packets per day to Nepal WITHOUT soul harvesting http://t.co/hMSe1nau8n,donation_needs_or_offers_or_volunteering_services,2
140,'591902726608461829',"RT @rishibagree: Golden temple will send 1,00,000 packets of meal per day to Nepal everyday along with a few other Gurudwara #Respect http:‰Û_",donation_needs_or_offers_or_volunteering_services,2
141,'591902726675689472',RT @SMQureshiPTI: Pak &amp; Nepal share a strong bilateral r/ship &amp; efforts must continue to be made to assist the victims of this unfortunate ‰Û_,other_useful_information,2
142,'591902727044603904',"RT @Priyalives: Same bureaucracy,relief tms, bt diffrnt ldrshp.Ths is nt a cmparisn bt evaluation f disastr mngemnt #NepalEarthquake http:/‰Û_",other_useful_information,2
143,'591902727430479872',These rescues from Nepal that are still happening are amazing. It just blows my mind that babies and others are still making it. #Nepal,missing_trapped_or_found_people,0
144,'591902727531155456',The Latest on Nepal Quake: Reconstruction cost $5 billion #SanFrancisco http://t.co/cXh18ffVji,other_useful_information,2
145,'591902727925571584',RT @airnewsalerts: MEA opens 24 hour Control Room for queries regarding tragic #NepalEarthquake. Numbers:   #earthquake http://t.co/bWRkwpV‰Û_,other_useful_information,2
146,'591902728223387648',"RT @SAfmnews: Rescuers in Nepal's capital, Kathmandu, have found a fifteen-year-old boy alive in an air-pocket under tonnes of rubble. #SAB‰Û_",missing_trapped_or_found_people,0
147,'591902728579731456',RT @kristengill: Gallery: For Nepal - Curious Animal Magazine http://t.co/IQaGT2mKci,other_useful_information,2
148,'591902728579756033',"8 million people may be affected by Nepal earthquake, says U.N.: Up to eight million people have had their liv... http://t.co/depbw9mnAE",displaced_people_and_evacuations,0
149,'591902728596525056',RT @BBCWorld: India's defence ministry tweets pictures of aid operation to help victims of Nepal earthquake http://t.co/mQHLMvAAkY https://‰Û_,other_useful_information,2
150,'591902728692961280',Scripps is gearing up to send highly trained medical response team to Nepal http://t.co/NHgCekuESh http://t.co/yjoftpYKVO,other_useful_information,2
151,'591902728999186432',UN launches Nepal earthquake appeal http://t.co/D2d8LMVAeC,donation_needs_or_offers_or_volunteering_services,2
152,'591902729796063232',Death toll rises to 1805 after 7.8 magnitude earthquake devastates Nepal - http://t.co/YONbgqTrRl,injured_or_dead_people,0
153,'591902729871564800',CNN: 7.8-magnitude quake hits Nepal near Kathmandu http://t.co/Kvf5YcNbhd,other_useful_information,2
154,'591902730165288960',"#HindustanTimes Indians flee earthquake-devastated Nepal, leaving behind jobs and savings http://t.co/vfnLw8mZLk‰Û_ http://t.co/GRjbZVVLzL",displaced_people_and_evacuations,0
155,'591902730286858241',"RT @Ajit_Doval: {ˆ´}- There Are 40,000 Gorkha Soldiers In #IndianArmy :: &amp; 1.25 Lakh Retired , Gorkha Regiment Soldiers In #Nepal :: ˆ´´ˆ´ˆ´´ #Ne‰Û_",donation_needs_or_offers_or_volunteering_services,2
156,'591902730773377024',RT @gauravcsawant: 750 dead in Kathmandu. Lamjung (epicentre) initial reports: more than 100 dead. (India to dispatch additional doctors &amp; ‰Û_,injured_or_dead_people,0
157,'591902731004063744',"RT @hitri04: ""Sometimes the heart sees what is invisible to the eye"" God help them to save mankind.. #MEAatWork #IndiaWithNepal http://t.co‰Û_",sympathy_and_emotional_support,3
158,'591902731285069824',RT @vishalgondal: Big ‡_ãD‡_ÀB @jetairways for refunding 100% fare 9W266 Kathmandu we are donating this amount ++ to @OxfamIndia #NepalEarthquake‰Û_,donation_needs_or_offers_or_volunteering_services,2
